Date,Crashes_per_100k,Season
2006-01-01,169.17654132143167,Winter
2006-02-01,154.02883603111363,Winter
2006-03-01,159.93000151597295,Spring
2006-04-01,155.74126955165212,Spring
2006-05-01,168.1792082821635,Spring
2006-06-01,158.8902500922483,Summer
2006-07-01,152.0952925065579,Summer
2006-08-01,159.3915886361001,Summer
2006-09-01,164.2025682401251,Fall
2006-10-01,187.72706945303037,Fall
2006-11-01,184.87434959757513,Fall
2006-12-01,180.83424898036557,Winter
2007-01-01,173.62044665852136,Winter
2007-02-01,165.22050540373732,Winter
2007-03-01,166.87257784108294,Spring
2007-04-01,155.98408436580593,Spring
2007-05-01,159.98910845634083,Spring
2007-06-01,161.49265019893812,Summer
2007-07-01,153.33804982387227,Summer
2007-08-01,160.98439672784625,Summer
2007-09-01,152.58279776441543,Fall
2007-10-01,179.74634319170124,Fall
2007-11-01,176.20149902150266,Fall
2007-12-01,191.1769073944637,Winter
2008-01-01,168.06435041031608,Winter
2008-02-01,177.95286823321592,Winter
2008-03-01,157.9002288379371,Spring
2008-04-01,148.7362397263769,Spring
2008-05-01,157.51181830316995,Spring
2008-06-01,149.28218510124017,Summer
2008-07-01,141.3544662692649,Summer
2008-08-01,145.28593073379227,Summer
2008-09-01,143.62178398872715,Fall
2008-10-01,164.12334834586642,Fall
2008-11-01,167.64009165515128,Fall
2008-12-01,189.61340634512976,Winter
2009-01-01,175.6581414956782,Winter
2009-02-01,139.66640125430547,Winter
2009-03-01,143.20801950316695,Spring
2009-04-01,136.15540124469658,Spring
2009-05-01,153.005856063983,Spring
2009-06-01,142.50217137061082,Summer
2009-07-01,137.82181520231407,Summer
2009-08-01,142.81226247453026,Summer
2009-09-01,140.47159580145765,Fall
2009-10-01,158.9754355403818,Fall
2009-11-01,151.8423629723861,Fall
2009-12-01,171.06019399260373,Winter
2010-01-01,150.55452149570982,Winter
2010-02-01,145.53459345143858,Winter
2010-03-01,139.1054777239513,Spring
2010-04-01,136.79497890038056,Spring
2010-05-01,145.58534877749156,Spring
2010-06-01,137.21233639040852,Summer
2010-07-01,130.96716830957186,Summer
2010-08-01,142.70199366241843,Summer
2010-09-01,140.7037855711227,Fall
2010-10-01,158.12676354754942,Fall
2010-11-01,152.02707251590917,Fall
2010-12-01,172.69645166573696,Winter
2011-01-01,153.9622699060866,Winter
2011-02-01,142.5771990781501,Winter
2011-03-01,134.82678820190728,Spring
2011-04-01,130.24952372234395,Spring
2011-05-01,137.21266564834355,Spring
2011-06-01,132.6328336385715,Summer
2011-07-01,130.31178632990498,Summer
2011-08-01,139.1293269491395,Summer
2011-09-01,141.1454800455227,Fall
2011-10-01,155.08428060728934,Fall
2011-11-01,155.10803026171982,Fall
2011-12-01,160.88882452661218,Winter
2012-01-01,150.2480288004694,Winter
2012-02-01,140.13230415868205,Winter
2012-03-01,140.6318618494106,Spring
2012-04-01,133.21368501846428,Spring
2012-05-01,151.47685151293118,Spring
2012-06-01,143.9054302628264,Summer
2012-07-01,139.00989233187292,Summer
2012-08-01,145.40314754861402,Summer
2012-09-01,148.3195704446148,Fall
2012-10-01,164.9865736542921,Fall
2012-11-01,162.44035868981334,Fall
2012-12-01,169.160811450163,Winter
